"spkid","full_name","pdes","name","neo","pha","H","G","diameter","extent","albedo","rot_per","BV","UB","IR","spec_B","spec_T","class","moid"
20000451,"   451 Patientia (A899 XA)",451,Patientia,N,N,6.80,0.19,253.900,,0.085,9.727,0.666,0.310,,,CU,MBA,1.87
20000454,"   454 Mathesis (A900 FB)",454,Mathesis,N,N,9.41,,81.743,,0.055,8.378,0.662,0.347,,,CB,MBA,1.33
20000455,"   455 Bruchsalia (A900 KC)",455,Bruchsalia,N,N,8.95,,88.792,,0.033,11.839,0.694,0.311,,,CP,MBA,0.914
20000464,"   464 Megaira (A901 AB)",464,Megaira,N,N,9.76,,77.056,,0.045,12.879,0.638,,,C,FXU:,MBA,1.25
20000465,"   465 Alekto (A901 AC)",465,Alekto,N,N,9.86,,73.34,,0.0433,10.936,,,,,,MBA,1.49
20000466,"   466 Tisiphone (A901 BB)",466,Tisiphone,N,N,8.43,,95.495,,0.092,8.834,0.659,0.342,,,C,OMB,2.1
20000468,"   468 Lina (A901 BC)",468,Lina,N,N,9.83,,60.238,,0.057,16.33,0.660,0.313,,,CPF,MBA,1.52
20000469,"   469 Argentina (A901 DC)",469,Argentina,N,N,8.68,,133.718,,0.035,17.5727,0.655,0.268,,,X,MBA,1.68
20000476,"   476 Hedwig (A901 QB)",476,Hedwig,N,N,8.70,,138.493,,0.035,27.33,0.716,0.375,,X,P,MBA,1.43
20000479,"   479 Caprera (A901 VK)",479,Caprera,N,N,9.82,,60.088,,0.071,9.454,,,,C,,MBA,1.16
20000481,"   481 Emita (A902 CB)",481,Emita,N,N,8.82,,101.829,,0.032,14.412,,,,Ch,C,MBA,1.32
20000488,"   488 Kreusa (A902 MC)",488,Kreusa,N,N,7.88,,168.117,,0.047,32.645,0.691,0.368,,,C,MBA,1.7
20000489,"   489 Comacina (A902 RD)",489,Comacina,N,N,8.62,,139.39,,0.0427,9.02,0.697,0.369,,,C,MBA,2
20000490,"   490 Veritas (A902 RE)",490,Veritas,N,N,8.70,,118.803,,0.059,7.93,0.750,0.390,,Ch,C,MBA,1.89
20000491,"   491 Carina (A902 RG)",491,Carina,N,N,9.03,,91.176,,0.037,14.836,,,,C,,MBA,1.96
20000492,"   492 Gismonda (A902 RF)",492,Gismonda,N,N,10.00,,53.418,,0.069,6.488,,,,,,MBA,1.54
20000494,"   494 Virtus (A902 TF)",494,Virtus,N,N,9.32,,100.786,,0.065,40.42,0.728,0.373,,Ch,C,MBA,1.78
20000498,"   498 Tokio (A902 XA)",498,Tokio,N,N,8.87,,81.83,,0.0694,41.85,0.780,0.375,,,M,MBA,1.07
20000499,"   499 Venusia (A902 YE)",499,Venusia,N,N,9.62,,77.328,,0.052,13.48,0.663,0.291,,,P,OMB,2.16
20000501,"   501 Urhixidur (A903 BK)",501,Urhixidur,N,N,9.49,,74.457,,0.052,13.1743,,,,,,MBA,1.71
20000503,"   503 Evelyn (A903 BL)",503,Evelyn,N,N,9.31,,81.68,,0.0585,38.871,0.725,0.315,,Ch,XC,MBA,1.27
20000505,"   505 Cava (A902 QA)",505,Cava,N,N,8.77,-0.03,115,,0.040,8.1789,0.683,0.235,,,FC,MBA,1.05
20000506,"   506 Marion (A903 DB)",506,Marion,N,N,9.00,,105.94,,0.0454,13.546,0.718,0.332,,,XC,MBA,1.63
20000508,"   508 Princetonia (A903 HC)",508,Princetonia,N,N,8.39,,117.241,,0.065,52.8,0.732,0.325,,,C,MBA,2.14
20000510,"   510 Mabella (A903 KA)",510,Mabella,N,N,9.76,,60.450,,0.062,19.4,0.735,0.300,,,PD,MBA,1.12
20000511,"   511 Davida (A903 KB)",511,Davida,N,N,6.41,0.16,270.327,,0.076,5.1297,0.717,0.363,,C,C,MBA,1.59
20000513,"   513 Centesima (A916 BC)",513,Centesima,N,N,9.53,,48.805,,0.089,4.79,0.807,0.425,,K,S,MBA,1.77
20000514,"   514 Armida (A903 QC)",514,Armida,N,N,9.22,,120.093,,0.030,21.851,0.675,0.255,,,XC,MBA,1.94
20000517,"   517 Edith (A903 SK)",517,Edith,N,N,9.68,,111.890,,0.026,9.2747,0.711,0.327,,,X,MBA,1.6
20000521,"   521 Brixia (A904 AE)",521,Brixia,N,N,8.62,-0.06,107.227,,0.073,28.479,0.712,0.341,,Ch,C,MBA,1
20000522,"   522 Helga (A904 AF)",522,Helga,N,N,9.04,,101.22,,0.0388,8.129,0.664,0.243,,,X,OMB,2.32
20000524,"   524 Fidelio (A904 ED)",524,Fidelio,N,N,9.86,,65.527,,0.048,14.198,0.722,0.316,,,XC,MBA,1.33
20000528,"   528 Rezia (A904 FA)",528,Rezia,N,N,9.26,,91.966,,0.046,7.337,,,,,,OMB,2.33
20000530,"   530 Turandot (A904 GB)",530,Turandot,N,N,9.36,,84.85,,0.0472,19.961,0.664,0.304,,,F,MBA,1.49
20000535,"   535 Montague (A904 JE)",535,Montague,N,N,9.59,,79.299,,0.054,10.2482,0.752,0.419,,,C,MBA,1.52
20000536,"   536 Merapi (A904 JF)",536,Merapi,N,N,8.13,,147.066,,0.048,8.791,0.694,0.294,,,X,OMB,2.24
20000538,"   538 Friederike (A904 OA)",538,Friederike,N,N,9.60,,70.640,,0.065,46.728,,,,,,MBA,1.61
20000545,"   545 Messalina (A904 TC)",545,Messalina,N,N,8.82,,112.631,,0.041,7.2,0.686,0.343,,Cb,CD,OMB,1.65
20000546,"   546 Herodias (A904 TD)",546,Herodias,N,N,9.75,,65.945,,0.054,10.77,0.766,0.375,,,TDG,MBA,1.35
20000551,"   551 Ortrud (A904 WC)",551,Ortrud,N,N,9.81,,81.113,,0.040,17.416,0.673,0.289,,C,XC,MBA,1.63
20000552,"   552 Sigelinde (A904 XB)",552,Sigelinde,N,N,9.64,,88.697,,0.036,17.156,,,,,,MBA,1.85
20000554,"   554 Peraga (A905 AE)",554,Peraga,N,N,9.29,,95.87,,0.0496,13.7128,0.676,0.342,,Ch,FC,MBA,1.03
20000559,"   559 Nanon (A905 EB)",559,Nanon,N,N,9.56,,79.82,,0.0500,10.059,0.733,0.379,,Xk,C,MBA,1.53
20000566,"   566 Stereoskopia (A905 KA)",566,Stereoskopia,N,N,8.22,,167.381,,0.039,12.103,0.712,0.291,,,C,OMB,1.98
20000567,"   567 Eleutheria (A905 KB)",567,Eleutheria,N,N,9.16,,93.41,,0.0439,7.717,0.652,0.309,,,CFB:,MBA,1.89
20000568,"   568 Cheruskia (A905 OD)",568,Cheruskia,N,N,9.72,,71.224,,0.056,13.209,,,,,,MBA,1.41
20000569,"   569 Misa (A905 OE)",569,Misa,N,N,10.00,,72.95,,0.0297,11.595,0.716,0.335,,Cg,C,MBA,1.2
20000570,"   570 Kythera (A905 OF)",570,Kythera,N,N,8.90,,87.486,,0.069,8.117,0.775,0.374,,T,ST,OMB,2.02
20000573,"   573 Recha (A905 SG)",573,Recha,N,N,9.53,,47.582,,0.100,7.16633,,,,,,MBA,1.69
20000576,"   576 Emanuela (A905 SK)",576,Emanuela,N,N,9.51,,74.378,,0.055,20.372,,,,,,MBA,1.41
20000578,"   578 Happelia (A905 VJ)",578,Happelia,N,N,9.56,,69.29,,0.0769,10.061,,,,Xc,,MBA,1.21
20000583,"   583 Klotilde (A905 YD)",583,Klotilde,N,N,9.34,,78.236,,0.072,9.2135,0.664,0.306,,,C,MBA,1.69
20000586,"   586 Thekla (A906 DK)",586,Thekla,N,N,9.54,,95.203,,0.040,13.67,0.660,0.372,,Ch,C:,MBA,1.86
20000588,"   588 Achilles (A906 DN)",588,Achilles,N,N,8.24,,130.099,,0.043,7.306,0.755,0.216,,,DU,TJN,3.47
20000589,"   589 Croatia (A906 EC)",589,Croatia,N,N,9.33,,93.617,,0.041,24.932,0.730,0.368,,,CX,MBA,2.02
20000593,"   593 Titania (A906 FK)",593,Titania,N,N,9.35,0.06,70.145,,0.070,9.8968,0.657,0.314,,,C,MBA,1.14
20000596,"   596 Scheila (A906 DL)",596,Scheila,N,N,8.94,,159.726,,0.040,15.848,0.714,0.177,,T,PCD,MBA,1.46
20000598,"   598 Octavia (A906 GC)",598,Octavia,N,N,9.68,,78.237,,0.044,10.8903,0.745,0.377,,X,C:,MBA,1.11
20000601,"   601 Nerthus (A906 MC)",601,Nerthus,N,N,9.67,,75.535,,0.043,13.59,0.660,,,C,X,MBA,1.8
20000602,"   602 Marianna (A906 DJ)",602,Marianna,N,N,8.68,,110.444,,0.067,35.195,0.692,0.333,,,C,MBA,1.33
20000604,"   604 Tekmessa (A906 DH)",604,Tekmessa,N,N,9.60,,64.536,,0.090,5.5596,,,,Xc,,MBA,1.56
20000607,"   607 Jenny (A906 SH)",607,Jenny,N,N,9.95,,67.520,,0.039,8.521,,,,,,MBA,1.64
20000613,"   613 Ginevra (A906 TD)",613,Ginevra,N,N,9.88,,81.344,,0.028,12.906,0.692,0.285,,,P,MBA,1.78
20000617,"   617 Patroclus (A906 UL)",617,Patroclus,N,N,8.25,,140.362,,0.047,102.8,0.677,0.215,,,P,TJN,3.53
20000618,"   618 Elfriede (A906 UM)",618,Elfriede,N,N,8.57,,131.292,,0.050,14.791,0.696,0.317,,,C,MBA,1.99
20000624,"   624 Hektor (A907 CF)",624,Hektor,N,N,7.36,,225,,0.025,6.924,0.776,0.249,,,D,TJN,4.16
20000626,"   626 Notburga (A907 CH)",626,Notburga,N,N,9.19,,73.236,,0.032,19.353,0.705,0.332,,Xc,CX,MBA,1
20000627,"   627 Charis (A907 EJ)",627,Charis,N,N,9.89,,38.018,,0.047,27.888,0.680,0.261,,X,XB:,MBA,1.71
20000634,"   634 Ute (A907 JJ)",634,Ute,N,N,9.93,,74.017,,0.043,11.7554,,,,X,,MBA,1.51
20000635,"   635 Vundtia (A907 LA)",635,Vundtia,N,N,9.31,,94.415,,0.034,11.79,0.675,0.336,,,C,MBA,1.92
20000636,"   636 Erika (A907 CE)",636,Erika,N,N,9.72,,73.147,,0.048,14.603,,,,,,MBA,1.42
20000640,"   640 Brambilla (A907 QA)",640,Brambilla,N,N,9.37,,62.667,,0.055,7.768,0.753,0.465,,,G,MBA,1.91
20000643,"   643 Scheherezade (A907 RK)",643,Scheherezade,N,N,9.89,,64.997,,0.058,14.161,0.719,0.302,,,P,OMB,2.21
20000648,"   648 Pippa (A907 RN)",648,Pippa,N,N,9.60,,68.27,,0.0509,9.263,0.676,0.278,,,XC,MBA,1.56
20000653,"   653 Berenike (A907 WC)",653,Berenike,N,N,9.34,,49.793,,0.085,12.4886,0.833,0.424,,K,S,MBA,1.9
20000654,"   654 Zelinda (A908 AM)",654,Zelinda,N,N,8.61,,160.736,,0.027,31.735,0.698,0.328,,Ch,C,MBA,0.804
20000659,"   659 Nestor (A908 FE)",659,Nestor,N,N,8.73,,112.320,,0.035,15.98,0.719,0.249,,,XC,TJN,3.56
20000663,"   663 Gerlinde (A908 MB)",663,Gerlinde,N,N,9.17,,107.795,,0.031,10.251,0.677,0.308,,,X,MBA,1.64
20000664,"   664 Judith (A908 MC)",664,Judith,N,N,9.95,,85.214,,0.040,19.306,0.695,0.238,,,XC,MBA,1.42
20000667,"   667 Denise (A908 OF)",667,Denise,N,N,9.41,,88.630,,0.062,12.687,,,,,,MBA,1.68
20000676,"   676 Melitta (A909 BO)",676,Melitta,N,N,9.65,,78.369,,0.049,16.743,,,,,XC,MBA,1.68
20000680,"   680 Genoveva (A909 HF)",680,Genoveva,N,N,9.56,,83.92,,0.0474,11.089,0.689,0.271,,,XC,MBA,1.25
20000683,"   683 Lanzia (A909 OA)",683,Lanzia,N,N,8.85,,83.04,,0.053,8.63,0.689,0.305,,,,MBA,1.99
20000686,"   686 Gersuind (A909 QA)",686,Gersuind,N,N,9.65,,55.258,,0.078,6.3127,0.839,0.424,,,S,MBA,0.963
20000690,"   690 Wratislavia (A909 UE)",690,Wratislavia,N,N,8.16,,134.65,,0.0604,8.64,0.675,0.316,,,CPF,MBA,1.62
20000691,"   691 Lehigh (A909 XB)",691,Lehigh,N,N,9.33,,79.451,,0.053,12.891,0.743,0.340,,,CD:,MBA,1.67
20000693,"   693 Zerbinetta (A909 SD)",693,Zerbinetta,N,N,9.54,,82.114,,0.055,11.475,0.776,0.411,,,ST,MBA,1.88
20000694,"   694 Ekard (A909 VC)",694,Ekard,N,N,9.29,,121.891,,0.026,5.925,0.712,0.347,,,CP:,MBA,0.868
20000696,"   696 Leonora (A916 BD)",696,Leonora,N,N,9.49,,81.580,,0.022,26.8964,,,,,XC,MBA,1.44
20000697,"   697 Galilea (A910 CL)",697,Galilea,N,N,9.58,,80.14,,0.0387,16.538,0.735,0.391,,,C:,MBA,1.44
20000702,"   702 Alauda (A910 OA)",702,Alauda,N,N,7.49,,190.980,,0.061,16.7072,0.665,0.316,,B,C,MBA,2.13
20000704,"   704 Interamnia (A910 TC)",704,Interamnia,N,N,6.34,-0.02,306.313,,0.078,8.727,0.645,0.259,,B,F,MBA,1.65
20000705,"   705 Erminia (A910 TE)",705,Erminia,N,N,8.48,,132.261,,0.031,53.68,0.696,0.288,,C,X,MBA,1.86
20000709,"   709 Fringilla (A911 CC)",709,Fringilla,N,N,9.18,,95.173,,0.034,52.4,0.715,0.326,,,X,MBA,1.57
20000712,"   712 Boliviana (A911 FF)",712,Boliviana,N,N,8.59,0.03,124.125,,0.039,11.7426,0.743,0.353,,X,C,MBA,1.11
20000713,"   713 Luscinia (A911 HG)",713,Luscinia,N,N,9.11,,97.968,,0.048,9.9143,0.663,0.281,,C,C,OMB,1.88
20000718,"   718 Erida (A911 SA)",718,Erida,N,N,9.71,,70.911,,0.042,17.447,,,,X,,MBA,1.47
20000721,"   721 Tabora (A911 UM)",721,Tabora,N,N,9.42,,86.309,,0.047,7.982,0.782,0.240,,,D,OMB,2.13
20000733,"   733 Mocia (A912 SA)",733,Mocia,N,N,9.33,,98.493,,0.044,11.374,0.704,0.281,,,CF,OMB,2.21
20000734,"   734 Benda (A912 TF)",734,Benda,N,N,9.96,,67.318,,0.051,7.11,,,,,,MBA,1.85
20000735,"   735 Marghanna (A912 XD)",735,Marghanna,N,N,9.91,,67.976,,0.059,20.625,0.705,0.318,,Ch,C,MBA,0.897
20000739,"   739 Mandeville (A913 CH)",739,Mandeville,N,N,8.86,,104.517,,0.051,23.92,0.720,0.312,,X,X,MBA,1.39
20000740,"   740 Cantabia (A913 CK)",740,Cantabia,N,N,9.19,,90.90,,0.0552,64.453,0.708,0.324,,,CX,MBA,1.76
20000746,"   746 Marlu (A913 EJ)",746,Marlu,N,N,9.97,,74.274,,0.032,7.787,0.726,0.283,,,P,MBA,1.41
20000747,"   747 Winchester (A913 EK)",747,Winchester,N,N,8.04,,171.71,,0.0503,9.4146,0.713,0.317,,C,PC,MBA,1.08
20000748,"   748 Simeisa (A913 EL)",748,Simeisa,N,N,9.10,,103.714,,0.041,11.905,0.694,0.206,,,P,OMB,2.22
20000751,"   751 Faina (A913 HE)",751,Faina,N,N,8.94,0.08,113.699,,0.027,23.678,0.685,0.376,,Ch,C,MBA,1.21
20000754,"   754 Malabar (A906 QH)",754,Malabar,N,N,9.31,,94.522,,0.042,11.732,0.695,0.335,,Ch,XC,MBA,1.88
20000762,"   762 Pulcova (A913 RD)",762,Pulcova,N,N,8.46,,147.343,,0.040,5.839,0.658,0.345,,,F,MBA,1.83
20000764,"   764 Gedania (A913 SF)",764,Gedania,N,N,9.71,,58.28,,0.0840,24.968,0.737,0.400,,,C,MBA,1.92
20000769,"   769 Tatjana (A913 TD)",769,Tatjana,N,N,9.18,,96.720,,0.052,35.08,,,,,,MBA,1.57
20000772,"   772 Tanete (A913 YD)",772,Tanete,N,N,8.46,,126.473,,0.028,17.258,0.671,0.342,,,C,MBA,1.73
20000773,"   773 Irmintraud (A913 YF)",773,Irmintraud,N,N,9.14,,91.672,,0.048,6.7514,0.706,0.284,,T,D,MBA,1.63
20000776,"   776 Berbericia (A914 BE)",776,Berbericia,N,N,7.72,0.34,151.711,,0.065,7.668,0.724,0.390,,Cgh,C,MBA,1.5
20000777,"   777 Gutemberga (A914 BF)",777,Gutemberga,N,N,9.79,,71.749,,0.042,12.838,,,,,,OMB,1.88
20000778,"   778 Theobalda (A914 BG)",778,Theobalda,N,N,9.90,,55.317,,0.079,11.659,0.617,0.256,,,F,MBA,1.4
20000780,"   780 Armenia (A914 BJ)",780,Armenia,N,N,8.99,,126.263,,0.028,19.891,,,,,,MBA,1.82
20000781,"   781 Kartvelia (A914 BK)",781,Kartvelia,N,N,9.51,,72.927,,0.048,19.04,,,,Xc,CPU:,OMB,1.82
20000784,"   784 Pickeringia (A914 FC)",784,Pickeringia,N,N,9.30,,75.596,,0.086,13.169,,,,C,,MBA,1.37
20000786,"   786 Bredichina (A914 HD)",786,Bredichina,N,N,8.88,,108.309,,0.052,29.434,0.692,0.254,,,C,MBA,1.71
20000788,"   788 Hohensteina (A914 HE)",788,Hohensteina,N,N,8.79,,111.295,,0.041,37.137,,,,,,MBA,1.71
20000790,"   790 Pretoria (A912 BE)",790,Pretoria,N,N,8.05,,170.37,,0.0384,10.37,0.706,0.309,,,P,OMB,1.88
20000791,"   791 Ani (A914 MB)",791,Ani,N,N,9.34,,116.865,,0.026,11.174,0.708,0.282,,,C,MBA,1.52
20000804,"   804 Hispania (A915 FK)",804,Hispania,N,N,8.03,0.18,137.952,,0.054,14.845,0.727,0.390,,C,PC,MBA,1.43
20000805,"   805 Hormuthia (A915 HD)",805,Hormuthia,N,N,9.86,,73.095,,0.039,9.51,0.700,0.277,,,CX,MBA,1.62
20000814,"   814 Tauris (A916 AE)",814,Tauris,N,N,8.75,,102.229,,0.054,36.081,0.701,0.316,,C,C,MBA,1.29
20000818,"   818 Kapteynia (A916 DF)",818,Kapteynia,N,N,9.28,,64.255,,0.100,16.35,,,,,,MBA,1.93
20000834,"   834 Burnhamia (A916 SG)",834,Burnhamia,N,N,9.44,,61.278,,0.071,13.875,0.752,0.472,,,GS:,MBA,1.55
20000850,"   850 Altona (A916 FG)",850,Altona,N,N,9.71,,80.90,,0.0390,11.1913,,,,,,MBA,1.62
20000859,"   859 Bouzareah (A916 TD)",859,Bouzareah,N,N,9.77,,65.417,,0.031,23.2,,,,,,OMB,1.88
20000861,"   861 Aida (A917 BF)",861,Aida,N,N,9.81,,66.85,,0.0571,10.95,,,,,,MBA,1.82
20000866,"   866 Fatme (A917 DG)",866,Fatme,N,N,9.70,,78.061,,0.046,11.6,,,,X,,MBA,1.97
20000884,"   884 Priamus (A917 SU)",884,Priamus,N,N,8.64,,101.093,,0.044,6.8605,0.718,0.229,,,D,TJN,3.55
20000886,"   886 Washingtonia (A917 WA)",886,Washingtonia,N,N,9.42,,86.793,,0.078,9.001,,,,C,,MBA,1.35
20000891,"   891 Gunhild (A918 KB)",891,Gunhild,N,N,9.98,,55.747,,0.065,11.892,,,,,,MBA,1.82
20000892,"   892 Seeligeria (A918 KC)",892,Seeligeria,N,N,9.84,,74.481,,0.055,16.693,,,,,,OMB,1.98
20000893,"   893 Leopoldina (A918 KD)",893,Leopoldina,N,N,9.63,,85.992,,0.039,14.115,0.670,0.226,,,XF,MBA,1.63
20000895,"   895 Helio (A918 NA)",895,Helio,N,N,8.33,,109.568,,0.071,9.347,,,,B,FCB,OMB,1.76
20000906,"   906 Repsolda (A918 UF)",906,Repsolda,N,N,9.41,,65.752,,0.065,15.368,,,,,,MBA,1.67
20000907,"   907 Rhoda (A918 VA)",907,Rhoda,N,N,9.94,,82.660,,0.032,22.44,0.709,0.269,,Xk,C,MBA,1.45
20000909,"   909 Ulla (A919 CA)",909,Ulla,N,N,8.76,,116.44,,0.0343,8.7155,0.689,0.279,,,X,OMB,2.25
20000911,"   911 Agamemnon (A919 FB)",911,Agamemnon,N,N,7.89,,131.038,,0.072,6.592,0.760,0.215,,,D,TJN,4.02
20000912,"   912 Maritima (A919 HC)",912,Maritima,N,N,9.43,,82.675,,0.039,1332,,,,C,,MBA,1.66
20000914,"   914 Palisana (A919 NC)",914,Palisana,N,N,9.12,,76.190,,0.095,8.68113,0.741,0.368,,,CU,MBA,0.976
20000921,"   921 Jovita (A919 RD)",921,Jovita,N,N,9.99,,55.312,,0.048,15.57,,,,,,MBA,1.62
20000924,"   924 Toni (A919 UF)",924,Toni,N,N,9.61,,85.49,,0.0432,19.437,0.720,0.340,,X,CX,MBA,1.5
20000927,"   927 Ratisbona (A920 DB)",927,Ratisbona,N,N,9.37,,75.892,,0.046,12.986,0.722,0.401,,,CB:,OMB,1.92
20000928,"   928 Hildrun (A920 DC)",928,Hildrun,N,N,9.97,,62.817,,0.053,14.13,,,,,,MBA,1.71
20000940,"   940 Kordula (A920 TE)",940,Kordula,N,N,9.42,,79.852,,0.041,15.57,0.580,0.363,,,FC:,OMB,1.8
20000943,"   943 Begonia (A920 UA)",943,Begonia,N,N,9.76,,70.572,,0.044,15.66,0.783,,,,ST,MBA,1.46
20000949,"   949 Hel (A921 EM)",949,Hel,N,N,9.80,,63.494,,0.058,16.43,,,,,,MBA,1.42
20000952,"   952 Caia (A916 US)",952,Caia,N,N,9.51,,88.692,,0.047,7.5,,,,,,MBA,1.26
20000957,"   957 Camelia (A921 RF)",957,Camelia,N,N,9.90,,91.548,,0.025,85.05,,,,,,MBA,1.72
20000972,"   972 Cohnia (A922 BD)",972,Cohnia,N,N,9.69,,77.827,,0.049,18.472,,,,,,MBA,1.36
20000976,"   976 Benjamina (A922 FD)",976,Benjamina,N,N,9.45,,83.195,,0.052,9.701,0.740,0.250,,,XD:,MBA,1.84
20000977,"   977 Philippa (A922 GA)",977,Philippa,N,N,9.90,,65.471,,0.051,15.405,0.712,0.370,,,C,MBA,2.09
20000978,"   978 Aidamina (A922 KE)",978,Aidamina,N,N,9.66,,92.105,,0.027,10.099,0.677,0.252,,,PF,OMB,1.51
20000983,"   983 Gunila (A922 OD)",983,Gunila,N,N,9.55,,73.87,,0.0477,16.633,0.744,0.267,,,XD,MBA,1.86
20001001,"  1001 Gaussia (A923 PD)",1001,Gaussia,N,N,9.86,,72.711,,0.041,20.99,0.689,0.265,,,PC,OMB,1.84
20001004,"  1004 Belopolskya (A923 RR)",1004,Belopolskya,N,N,9.79,,71.60,,0.0348,9.038,0.720,0.120,,,PC,OMB,2.09
20001015,"  1015 Christa (A924 CF)",1015,Christa,N,N,9.45,,82.350,,0.048,11.23,0.693,0.320,,Xc,C,OMB,1.95
20001021,"  1021 Flammario (A924 EW)",1021,Flammario,N,N,9.03,,100.765,,0.045,12.155,0.656,0.230,,B,F,MBA,1.04
20001028,"  1028 Lydina (A923 VF)",1028,Lydina,N,N,9.34,,88.526,,0.038,11.68,0.684,0.276,,,C,OMB,2.08
20001031,"  1031 Arctica (A924 LC)",1031,Arctica,N,N,9.50,,75.400,,0.035,24.904,0.680,0.325,,,CX:,MBA,1.89
20001042,"  1042 Amazone (1925 HA)",1042,Amazone,N,N,9.96,,63.920,,0.054,540,,,,,,OMB,2.01
20001048,"  1048 Feodosia (A924 WQ)",1048,Feodosia,N,N,9.71,,62.218,,0.057,10.46,0.709,0.309,,Ch,XC,MBA,1.22
20001062,"  1062 Ljuba (1925 TD)",1062,Ljuba,N,N,9.85,,58.031,,0.060,33.8,0.720,,,,,MBA,1.81
20001085,"  1085 Amaryllis (1927 QH)",1085,Amaryllis,N,N,9.82,,69.281,,0.067,18.111,,,,,,MBA,2.05
20001086,"  1086 Nata (1927 QL)",1086,Nata,N,N,9.69,,66.27,,0.0767,18.061,,,,Ch,,MBA,2.02
20001087,"  1087 Arabis (1927 RD)",1087,Arabis,N,N,9.79,,37.498,,0.098,5.794,0.823,0.370,,,S,MBA,1.76
20001093,"  1093 Freda (1925 LA)",1093,Freda,N,N,9.07,,116.73,,0.0381,19.67,0.679,0.356,,,C,MBA,1.4
20001107,"  1107 Lictoria (1929 FB)",1107,Lictoria,N,N,9.56,,79.079,,0.066,8.5616,,,,Xc,,MBA,1.83
20001115,"  1115 Sabauda (1928 XC)",1115,Sabauda,N,N,9.99,,75.907,,0.044,6.718,,,,,,MBA,1.61
20001118,"  1118 Hanskya (1927 QD)",1118,Hanskya,N,N,10.00,,70.954,,0.056,25.31,,,,,,OMB,2.06
20001143,"  1143 Odysseus (1930 BH)",1143,Odysseus,N,N,8.41,,114.624,,0.050,10.114,0.794,0.241,,,D,TJN,3.77
20001167,"  1167 Dubiago (1930 PB)",1167,Dubiago,N,N,9.86,,63.12,,0.0509,34.818,0.743,0.196,,,D,OMB,2.18
20001172,"  1172 Aneas (1930 UA)",1172,Aneas,N,N,8.19,,118.020,,0.059,8.705,0.725,0.254,,,D,TJN,3.7
20001173,"  1173 Anchises (1930 UB)",1173,Anchises,N,N,8.95,,99.549,,0.050,11.595,0.691,0.266,,,P,TJN,3.54
20001177,"  1177 Gonnessia (1930 WA)",1177,Gonnessia,N,N,9.36,,91.98,,0.0398,30.51,0.668,0.244,,,XFU,OMB,2.29
20001180,"  1180 Rita (1931 GE)",1180,Rita,N,N,9.44,,97,,0.058,14.894,0.682,0.216,,,P,OMB,2.35
20001208,"  1208 Troilus (1931 YA)",1208,Troilus,N,N,9.06,,100.477,,0.041,56.17,0.693,0.314,,,FCU,TJN,3.88
20001212,"  1212 Francette (1931 XC)",1212,Francette,N,N,9.61,,76.387,,0.046,32.78,0.693,0.215,,X,P,OMB,2.21
20001241,"  1241 Dysona (1932 EB1)",1241,Dysona,N,N,9.73,,79.190,,0.047,8.6092,0.750,0.290,,,PDC,MBA,1.89
20001243,"  1243 Pamela (1932 JE)",1243,Pamela,N,N,9.68,,69.883,,0.040,26.01,,,,,,MBA,1.96
20001256,"  1256 Normannia (1932 PD)",1256,Normannia,N,N,9.83,,68.245,,0.052,52.,0.737,0.239,,,D,OMB,2.58
20001264,"  1264 Letaba (1933 HG)",1264,Letaba,N,N,9.66,,66.040,,0.041,32.74,,,,C,,MBA,1.42
20001266,"  1266 Tone (1927 BD)",1266,Tone,N,N,9.52,,75.470,,0.053,15.605,0.732,0.317,,,P,OMB,2.22
20001268,"  1268 Libya (1930 HJ)",1268,Libya,N,N,9.13,,96.710,,0.043,17.572,0.663,0.228,,,P,OMB,2.59
20001269,"  1269 Rollandia (1930 SH)",1269,Rollandia,N,N,8.78,,104.893,,0.048,60.45,0.775,0.271,,,D,OMB,2.55
20001303,"  1303 Luthera (1928 FP)",1303,Luthera,N,N,9.48,,81.685,,0.024,8.3281,,,,,,OMB,2
20001323,"  1323 Tugela (1934 LD)",1323,Tugela,N,N,9.88,,78.295,,0.018,19.5,,,,Xc,,OMB,1.76
20001345,"  1345 Potomac (A908 CE)",1345,Potomac,N,N,9.84,,72.976,,0.043,11.42,0.719,0.286,,,X,OMB,2.28
20001390,"  1390 Abastumani (1935 TA)",1390,Abastumani,N,N,9.15,,95.849,,0.033,26.49,0.685,0.189,,,P,OMB,2.32
20001404,"  1404 Ajax (1936 QW)",1404,Ajax,N,N,9.31,,83.990,,0.048,29.411,,,,,,TJN,3.74
20001437,"  1437 Diomedes (1937 PB)",1437,Diomedes,N,N,8.18,,117.786,,0.061,24.49,0.700,0.250,,,DP,TJN,4.03
20001467,"  1467 Mashona (1938 OE)",1467,Mashona,N,N,8.80,,89.160,,0.083,9.76,0.743,0.373,,,GC,OMB,1.95
20001469,"  1469 Linzia (1938 QD)",1469,Linzia,N,N,9.96,,74.780,,0.038,22.215,,,,,,MBA,1.94
20001512,"  1512 Oulu (1939 FE)",1512,Oulu,N,N,9.55,,79.872,,0.039,132.3,0.715,0.190,,,P,OMB,2.4
20001529,"  1529 Oterma (1938 BC)",1529,Oterma,N,N,9.95,,56.319,,0.054,14.32,0.764,0.386,,,P:,OMB,2.2
20001567,"  1567 Alikoski (1941 HN)",1567,Alikoski,N,N,9.76,,69.242,,0.059,16.3744,0.720,,,C,PU,OMB,2
